method,num_steps,num_threads,result,runtime
critical,1000000,4,3.14159,0.358245
critical,1000000,4,3.14159,0.345845
critical,1000000,4,3.14159,0.350292
critical,1000000,4,3.14159,0.340733
critical,1000000,4,3.14159,0.339093
critical,1000000,4,3.14159,0.350189
critical,1000000,4,3.14159,0.352968
critical,10000000,4,3.14159,3.87466
critical,10000000,4,3.14159,4.38619
critical,10000000,4,3.14159,3.85782
critical,10000000,4,3.14159,3.96801
critical,10000000,4,3.14159,4.02276
critical,10000000,4,3.14159,4.42858
critical,10000000,4,3.14159,4.07678
critical,10000000,4,3.14159,3.96249
critical,10000000,4,3.14159,3.7905
critical,10000000,4,3.14159,4.01075
critical,10000,8,3.14159,0.006629
critical,10000,8,3.14159,0.006054
critical,10000,8,3.14159,0.004736
critical,10000,8,3.14159,0.00473
critical,10000,8,3.14159,0.005006
critical,10000,8,3.14159,0.009104
critical,10000,8,3.14159,0.00444
critical,10000,8,3.14159,0.005166
critical,10000,8,3.14159,0.011027
critical,10000,8,3.14159,0.011011
critical,100000,8,3.14159,0.198932
critical,100000,8,3.14159,0.185862
critical,100000,8,3.14159,0.123535
critical,100000,8,3.14159,0.329696
critical,100000,8,3.14159,0.073846
critical,100000,8,3.14159,0.135002
critical,100000,8,3.14159,0.107567
critical,100000,8,3.14159,0.054805
critical,100000,8,3.14159,0.099336
critical,100000,8,3.14159,0.06299
critical,1000000,8,3.14159,0.662005
critical,1000000,8,3.14159,0.814301
critical,1000000,8,3.14159,0.830602
critical,1000000,8,3.14159,1.25661
critical,1000000,8,3.14159,1.28777
critical,1000000,8,3.14159,1.00041
critical,1000000,8,3.14159,0.806653
critical,1000000,8,3.14159,0.910598
critical,1000000,8,3.14159,0.704316
critical,1000000,8,3.14159,1.00511
critical,10000000,8,3.14159,10.0422
critical,10000000,8,3.14159,9.89283
critical,10000000,8,3.14159,8.72786
critical,10000000,8,3.14159,9.41887
critical,10000000,8,3.14159,9.37026
critical,10000000,8,3.14159,10.3916
critical,10000000,8,3.14159,9.55995
critical,10000000,8,3.14159,8.19263
critical,10000000,8,3.14159,10.0744
critical,10000000,8,3.14159,9.64335
atomic,10000,1,3.14159,0.000246
atomic,10000,1,3.14159,0.000231
atomic,10000,1,3.14159,0.000227
atomic,10000,1,3.14159,0.000225
atomic,10000,1,3.14159,0.000224
atomic,10000,1,3.14159,0.000245
atomic,10000,1,3.14159,0.000233
atomic,10000,1,3.14159,0.000221
atomic,10000,1,3.14159,0.000231
atomic,10000,1,3.14159,0.000245
atomic,100000,1,3.14159,0.000891
atomic,100000,1,3.14159,0.000893
atomic,100000,1,3.14159,0.000888
atomic,100000,1,3.14159,0.000931
atomic,100000,1,3.14159,0.000912
atomic,100000,1,3.14159,0.000883
atomic,100000,1,3.14159,0.000877
atomic,100000,1,3.14159,0.000894
atomic,100000,1,3.14159,0.000906
atomic,100000,1,3.14159,0.000995
atomic,1000000,1,3.14159,0.007348
atomic,1000000,1,3.14159,0.007325
atomic,1000000,1,3.14159,0.007223
atomic,1000000,1,3.14159,0.007354
atomic,1000000,1,3.14159,0.00724
atomic,1000000,1,3.14159,0.007277
atomic,1000000,1,3.14159,0.007387
atomic,1000000,1,3.14159,0.007312
atomic,1000000,1,3.14159,0.007232
atomic,1000000,1,3.14159,0.007325
atomic,10000000,1,3.14159,0.072376
atomic,10000000,1,3.14159,0.072348
atomic,10000000,1,3.14159,0.072033
atomic,10000000,1,3.14159,0.072291
atomic,10000000,1,3.14159,0.072036
atomic,10000000,1,3.14159,0.071707
atomic,10000000,1,3.14159,0.072035
