num_threads,N,M,Gbytes,time
2,16,8,1.216e-06,0.269934
2,16,8,1.216e-06,0.089629
2,16,8,1.216e-06,0.07684
2,16,8,1.216e-06,0.0657
2,16,8,1.216e-06,0.114163
2,16,8,1.216e-06,0.1154
2,16,8,1.216e-06,0.062938
2,16,8,1.216e-06,0.10279
2,256,128,0.000265216,0.111543
2,256,128,0.000265216,0.064464
2,256,128,0.000265216,0.109937
2,256,128,0.000265216,0.095953
2,256,128,0.000265216,0.07047
2,256,128,0.000265216,0.11078
2,256,128,0.000265216,0.103025
2,256,128,0.000265216,0.047563
2,256,128,0.000265216,0.099053
2,256,128,0.000265216,0.100865
2,1024,512,0.00420659,0.088454
2,1024,512,0.00420659,0.076144
2,1024,512,0.00420659,0.102599
2,1024,512,0.00420659,0.074437
2,1024,512,0.00420659,0.0612
2,1024,512,0.00420659,0.093892
2,1024,512,0.00420659,0.103192
2,1024,512,0.00420659,0.087647
2,1024,512,0.00420659,0.113994
2,1024,512,0.00420659,0.093795
2,4096,2048,0.067158,0.218344
2,4096,2048,0.067158,0.151277
2,4096,2048,0.067158,0.074613
2,4096,2048,0.067158,0.110368
2,4096,2048,0.067158,0.160224
2,4096,2048,0.067158,0.055699
2,4096,2048,0.067158,0.079197
2,4096,2048,0.067158,0.082524
2,4096,2048,0.067158,0.063459
2,4096,2048,0.067158,0.076562
2,16384,8192,1.07394,0.169125
2,16384,8192,1.07394,0.189553
2,16384,8192,1.07394,0.147918
2,16384,8192,1.07394,0.153524
2,16384,8192,1.07394,0.202878
2,16384,8192,1.07394,0.249563
2,16384,8192,1.07394,0.241691
2,16384,8192,1.07394,0.190287
2,16384,8192,1.07394,0.23473
2,16384,8192,1.07394,0.255715
2,32768,16384,4.29536,0.590597
2,32768,16384,4.29536,0.648094
2,32768,16384,4.29536,0.882842
2,32768,16384,4.29536,0.645931
2,32768,16384,4.29536,0.541101
2,32768,16384,4.29536,0.530329
2,32768,16384,4.29536,0.532238
2,32768,16384,4.29536,0.52317
2,32768,16384,4.29536,0.58892
2,32768,16384,4.29536,0.462466
4,4,2,1.12e-07,0.11133
