num_threads,N,M,Gbytes,time
1,4,2,1.12e-07,0.039898
1,4,2,1.12e-07,0.041116
1,4,2,1.12e-07,0.044889
1,16,8,1.216e-06,0.039745
1,16,8,1.216e-06,0.040085
1,16,8,1.216e-06,0.042283
1,16,8,1.216e-06,0.051341
1,16,8,1.216e-06,0.04356
1,16,8,1.216e-06,0.044647
1,16,8,1.216e-06,0.043834
1,16,8,1.216e-06,0.098111
1,16,8,1.216e-06,0.079688
1,16,8,1.216e-06,0.041243
1,256,128,0.000265216,0.041082
1,256,128,0.000265216,0.04049
1,256,128,0.000265216,0.040227
1,256,128,0.000265216,0.040792
1,256,128,0.000265216,0.040309
1,256,128,0.000265216,0.054684
1,256,128,0.000265216,0.044293
1,256,128,0.000265216,0.043463
1,256,128,0.000265216,0.04439
1,256,128,0.000265216,0.099644
1,1024,512,0.00420659,0.078255
1,1024,512,0.00420659,0.04058
1,1024,512,0.00420659,0.041056
1,1024,512,0.00420659,0.046167
1,1024,512,0.00420659,0.04049
1,1024,512,0.00420659,0.041723
1,1024,512,0.00420659,0.040714
1,1024,512,0.00420659,0.056477
1,1024,512,0.00420659,0.044875
1,1024,512,0.00420659,0.044616
1,4096,2048,0.067158,0.057748
1,4096,2048,0.067158,0.100358
1,4096,2048,0.067158,0.104326
1,4096,2048,0.067158,0.045518
1,4096,2048,0.067158,0.045481
1,4096,2048,0.067158,0.051424
1,4096,2048,0.067158,0.053745
1,4096,2048,0.067158,0.051958
1,4096,2048,0.067158,0.046639
1,4096,2048,0.067158,0.045591
1,16384,8192,1.07394,0.132188
1,16384,8192,1.07394,0.12938
1,16384,8192,1.07394,0.129117
1,16384,8192,1.07394,0.129741
1,16384,8192,1.07394,0.128473
1,16384,8192,1.07394,0.130408
1,16384,8192,1.07394,0.129267
1,16384,8192,1.07394,0.130595
1,16384,8192,1.07394,0.136633
1,16384,8192,1.07394,0.128701
1,32768,16384,4.29536,0.397575
1,32768,16384,4.29536,0.413198
1,32768,16384,4.29536,0.413705
1,32768,16384,4.29536,0.416813
1,32768,16384,4.29536,0.416579
1,32768,16384,4.29536,0.420511
1,32768,16384,4.29536,0.41873
1,32768,16384,4.29536,0.417043
1,32768,16384,4.29536,0.415325
1,32768,16384,4.29536,0.41551
1,4,2,1.12e-07,0.077028
1,4,2,1.12e-07,0.041252
1,4,2,1.12e-07,0.067747
1,4,2,1.12e-07,0.039214
1,4,2,1.12e-07,0.04246
1,4,2,1.12e-07,0.072825
1,4,2,1.12e-07,0.048888
1,4,2,1.12e-07,0.047616
1,4,2,1.12e-07,0.043808
1,4,2,1.12e-07,0.039772
1,16,8,1.216e-06,0.039677
1,16,8,1.216e-06,0.04377
1,16,8,1.216e-06,0.040098
1,16,8,1.216e-06,0.041662
1,16,8,1.216e-06,0.050834
1,16,8,1.216e-06,0.042017
1,16,8,1.216e-06,0.060656
1,16,8,1.216e-06,0.040118
1,16,8,1.216e-06,0.069156
1,16,8,1.216e-06,0.043437
1,256,128,0.000265216,0.040099
1,256,128,0.000265216,0.041357
1,256,128,0.000265216,0.051761
1,256,128,0.000265216,0.042487
1,256,128,0.000265216,0.041293
1,256,128,0.000265216,0.039166
1,256,128,0.000265216,0.072054
1,256,128,0.000265216,0.040209
1,256,128,0.000265216,0.042107
1,256,128,0.000265216,0.041598
1,1024,512,0.00420659,0.075452
1,1024,512,0.00420659,0.069734
1,1024,512,0.00420659,0.040555
1,1024,512,0.00420659,0.067277
1,1024,512,0.00420659,0.043764
1,1024,512,0.00420659,0.04012
1,1024,512,0.00420659,0.049754
1,1024,512,0.00420659,0.039695
